City ,Sum of Revenue,Product
 Austin,133050,Apple Airpods Headphones
 Los Angeles,126800,Vareebadd Phone
 Dallas,126000,Flatscreen TV
 Austin,124636.72,34in Ultrawide Monitor
 Austin,124016.82,27in 4K Gaming Monitor
 Atlanta,122100,Flatscreen TV
 Boston,119542.02999999998,27in FHD Monitor
 Seattle,112500,Flatscreen TV
 New York City,112400,Vareebadd Phone
 San Francisco,109989.99999999997,20in Monitor
 Atlanta,108389.15999999999,Bose SoundSport Headphones
 San Francisco,108000,LG Washing Machine
 Dallas,106289.37,Bose SoundSport Headphones
 Seattle,106189.37999999999,Bose SoundSport Headphones
 Portland,93600,Flatscreen TV
 Portland,88891.11,Bose SoundSport Headphones
 Atlanta,88194.12,27in FHD Monitor
 Dallas,88044.12999999998,27in FHD Monitor
 Seattle,86844.21,27in FHD Monitor
 San Francisco,85800,LG Dryer
 Boston,85600,Vareebadd Phone
 San Francisco,83077.15000000001,Lightning Charging Cable
 Portland,79494.7,27in FHD Monitor
 Austin,72600,Flatscreen TV
 Los Angeles,72373.41999999998,20in Monitor
 Seattle,71600,Vareebadd Phone
 Dallas,71200,Vareebadd Phone
 Austin,70692.93000000001,Bose SoundSport Headphones
 San Francisco,70433.3,USB-C Charging Cable
 Los Angeles,69600,LG Dryer
 Atlanta,69200,Vareebadd Phone
 Los Angeles,63000,LG Washing Machine
 New York City,61594.400000000016,20in Monitor
 San Francisco,59542.34,Wired Headphones
 Los Angeles,56391.4,Lightning Charging Cable
 Austin,53996.400000000016,27in FHD Monitor
 New York City,51000,LG Washing Machine
 Portland,49600,Vareebadd Phone
 New York City,46200,LG Dryer
 New York City,45462.95,Lightning Charging Cable
 Los Angeles,45194.9,USB-C Charging Cable
 Boston,43336.06,20in Monitor
 Austin,43200,Vareebadd Phone
 Boston,43200,LG Washing Machine
 Los Angeles,39207.3,Wired Headphones
 New York City,39064.55,USB-C Charging Cable
 Dallas,37726.57000000001,20in Monitor
 Atlanta,37616.58000000001,20in Monitor
 Boston,37240.450000000004,Lightning Charging Cable
 Seattle,35636.76,20in Monitor
 Atlanta,35400,LG Dryer
 Boston,35400,LG Dryer
 Seattle,34800,LG Washing Machine
 Seattle,33600,LG Dryer
 Austin,33000,LG Dryer
 New York City,32456.93,Wired Headphones
 Atlanta,31200,LG Washing Machine
 Boston,30603.949999999997,USB-C Charging Cable
 Dallas,30600,LG Washing Machine
 Portland,30577.219999999998,20in Monitor
 Atlanta,28091.049999999996,Lightning Charging Cable
 Dallas,27866.8,Lightning Charging Cable
 Boston,26641.780000000002,Wired Headphones
 Seattle,26536.25,Lightning Charging Cable
 Dallas,26400,LG Dryer
 Austin,25297.7,20in Monitor
 San Francisco,25171.200000000004,AA Batteries (4-pack)
 Portland,22888.45,Lightning Charging Cable
 Atlanta,22884.25,USB-C Charging Cable
 Seattle,22334.549999999996,USB-C Charging Cable
 Portland,22200,LG Dryer
 Portland,22200,LG Washing Machine
 San Francisco,22149.919999999984,AAA Batteries (4-pack)
 Dallas,22131.399999999998,USB-C Charging Cable
 Dallas,20011.31,Wired Headphones
 Seattle,19807.479999999996,Wired Headphones
 Austin,19539.649999999998,Lightning Charging Cable
 Atlanta,18932.21,Wired Headphones
 Portland,18904.899999999998,USB-C Charging Cable
 Los Angeles,17041.920000000002,AA Batteries (4-pack)
 Portland,16330.380000000001,Wired Headphones
 Austin,15600,LG Washing Machine
 Austin,14949.45,USB-C Charging Cable
 Los Angeles,14851.330000000007,AAA Batteries (4-pack)
 New York City,13939.199999999999,AA Batteries (4-pack)
 Austin,13548.699999999995,Wired Headphones
 New York City,12330.760000000007,AAA Batteries (4-pack)
 Boston,11581.44,AA Batteries (4-pack)
 Boston,10348.390000000007,AAA Batteries (4-pack)
 Dallas,8682.24,AA Batteries (4-pack)
 Atlanta,8421.119999999999,AA Batteries (4-pack)
 Seattle,8367.359999999999,AA Batteries (4-pack)
 Dallas,7486.959999999999,AAA Batteries (4-pack)
 Portland,7445.759999999999,AA Batteries (4-pack)
 Seattle,7313.539999999999,AAA Batteries (4-pack)
 Atlanta,7053.41,AAA Batteries (4-pack)
 Portland,6219.199999999998,AAA Batteries (4-pack)
 Austin,5468.159999999999,AA Batteries (4-pack)
 Austin,4987.320000000001,AAA Batteries (4-pack)
